num_voters,title,url,avg_rating,rank,geek_rating,release_date
170.0,Thunder at the Crossroads (second edition),/boardgame/10226/thunder-crossroads-second-edition,7.67,3393,5.767,1993
631.0,Twin Tin Bots,/boardgame/126239/twin-tin-bots,6.42,2996,5.822,2013
402.0,Paydirt,/boardgame/1498/paydirt,6.86,2997,5.822,1970
608.0,Desperados of Dice Town,/boardgame/154600/desperados-dice-town,6.19,3690,5.733,2014
1383.0,Risk: Star Wars – The Clone Wars Edition,/boardgame/15045/risk-star-wars-clone-wars-edition,6.02,3691,5.733,2005
337.0,American Megafauna,/boardgame/639/american-megafauna,6.96,2900,5.837,1997
462.0,Drive,/boardgame/6137/drive,6.51,3194,5.792,2003
676.0,Age of Gods,/boardgame/13071/age-gods,6.31,3296,5.778,2004
337.0,Romolo o Remo?,/boardgame/139147/romolo-o-remo,6.84,3297,5.777,2013
262.0,Time of Legends: Joan of Arc,/boardgame/230791/time-legends-joan-arc,9.12,3885,5.713,2018
334.0,Metropolis,/boardgame/145/metropolis,6.44,3886,5.713,1984
